# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Age            Xc             
     0.68617493     0.61088264    -0.92791778     4.70232868  4331.85986328     0.12956162     0.61088264  4331.85986328     4.70232868     0.00100000     0.70696157
     0.68685883     0.61159706    -0.92599910     4.70174646  4334.13867188     0.12956376     0.61159706  4334.13867188     4.70174646     0.00100000     0.70696300
     0.68754280     0.61230344    -0.92409986     4.70117378  4336.35693359     0.12956619     0.61230344  4336.35693359     4.70117378     0.00100000     0.70696795
     0.68822670     0.61299711    -0.92223322     4.70062304  4338.54980469     0.12956689     0.61299711  4338.54980469     4.70062304     0.00100000     0.70697504
     0.68891060     0.61367333    -0.92040664     4.70009518  4340.73681641     0.12956567     0.61367333  4340.73681641     4.70009518     0.00100000     0.70697886
     0.68959457     0.61433285    -0.91861326     4.69959068  4342.86523438     0.12956858     0.61433285  4342.86523438     4.69959068     0.00100000     0.70698041
     0.69027847     0.61497587    -0.91687918     4.69911051  4344.94970703     0.12956966     0.61497587  4344.94970703     4.69911051     0.00100000     0.70698613
     0.69096243     0.61560398    -0.91519237     4.69865465  4346.94921875     0.12957112     0.61560398  4346.94921875     4.69865465     0.00100000     0.70699221
     0.69164634     0.61621064    -0.91356713     4.69823122  4348.88476562     0.12957758     0.61621064  4348.88476562     4.69823122     0.00100000     0.70699513
     0.69233024     0.61676461    -0.91205275     4.69787025  4350.66162109     0.12957308     0.61676461  4350.66162109     4.69787025     0.00100000     0.70700556
     0.69301420     0.61723667    -0.91077906     4.69763803  4352.21679688     0.12957747     0.61723667  4352.21679688     4.69763803     0.00100000     0.70700425
     0.69369811     0.61764282    -0.90974534     4.69749403  4353.34667969     0.12957852     0.61764282  4353.34667969     4.69749403     0.00100000     0.70700866
     0.69438207     0.61798710    -0.90893847     4.69742966  4354.15722656     0.12958199     0.61798710  4354.15722656     4.69742966     0.00100000     0.70701551
     0.69506598     0.61838365    -0.90805531     4.69730902  4354.95800781     0.12958539     0.61838365  4354.95800781     4.69730902     0.00100000     0.70702028
     0.69574988     0.61883479    -0.90702587     4.69710302  4355.97656250     0.12958844     0.61883479  4355.97656250     4.69710302     0.00100000     0.70702404
     0.69643384     0.61938280    -0.90570349     4.69675255  4357.33984375     0.12958904     0.61938280  4357.33984375     4.69675255     0.00100000     0.70702887
     0.69711775     0.61998093    -0.90423036     4.69633579  4358.96679688     0.12958711     0.61998093  4358.96679688     4.69633579     0.00100000     0.70703954
     0.69780171     0.62060481    -0.90267885     4.69589233  4360.64208984     0.12959066     0.62060481  4360.64208984     4.69589233     0.00100000     0.70704591
     0.69848561     0.62128586    -0.90094095     4.69537401  4362.62255859     0.12959389     0.62128586  4362.62255859     4.69537401     0.00100000     0.70705450
     0.69916952     0.62196606    -0.89917588     4.69484425  4364.67529297     0.12959167     0.62196606  4364.67529297     4.69484425     0.00100000     0.70706254
     0.69985348     0.62265009    -0.89738685     4.69430923  4366.77246094     0.12959088     0.62265009  4366.77246094     4.69430923     0.00100000     0.70706862
     0.70053738     0.62334359    -0.89555544     4.69377232  4368.95458984     0.12959436     0.62334359  4368.95458984     4.69377232     0.00100000     0.70707345
     0.70122135     0.62403387    -0.89370066     4.69323826  4371.19775391     0.12959711     0.62403387  4371.19775391     4.69323826     0.00100000     0.70707881
     0.70190525     0.62471592    -0.89184284     4.69271374  4373.47802734     0.12959811     0.62471592  4373.47802734     4.69271374     0.00100000     0.70708460
     0.70258915     0.62539011    -0.88999349     4.69220018  4375.77392578     0.12959859     0.62539011  4375.77392578     4.69220018     0.00100000     0.70709056
     0.70327312     0.62605667    -0.88815600     4.69169807  4378.07568359     0.12959908     0.62605667  4378.07568359     4.69169807     0.00100000     0.70709598
     0.70395702     0.62671578    -0.88633090     4.69120789  4380.38134766     0.12959979     0.62671578  4380.38134766     4.69120789     0.00100000     0.70710069
     0.70464098     0.62736768    -0.88451660     4.69072771  4382.68554688     0.12960079     0.62736768  4382.68554688     4.69072771     0.00100000     0.70710486
     0.70532489     0.62801260    -0.88271254     4.69025803  4384.98632812     0.12960196     0.62801260  4384.98632812     4.69025803     0.00100000     0.70710862
     0.70600879     0.62865108    -0.88091719     4.68979836  4387.29541016     0.12960319     0.62865108  4387.29541016     4.68979836     0.00100000     0.70711178
     0.70669276     0.62928343    -0.87912917     4.68934631  4389.60595703     0.12960429     0.62928343  4389.60595703     4.68934631     0.00100000     0.70711428
     0.70737666     0.62990969    -0.87734747     4.68890285  4391.93457031     0.12960503     0.62990969  4391.93457031     4.68890285     0.00100000     0.70711666
     0.70806062     0.63052976    -0.87557006     4.68846798  4394.27880859     0.12960482     0.63052976  4394.27880859     4.68846798     0.00100000     0.70711946
     0.70874453     0.63114440    -0.87379396     4.68804073  4396.64111328     0.12960383     0.63114440  4396.64111328     4.68804073     0.00100000     0.70712346
     0.70942843     0.63175631    -0.87201351     4.68761873  4399.02880859     0.12960343     0.63175631  4399.02880859     4.68761873     0.00100000     0.70712775
