# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.65334636     0.57837123    -1.01576650     4.72855568  4232.49511719     0.12934795     0.57837123  4232.49511719     4.72855568     0.70642227
     0.65403032     0.57893527    -1.01405287     4.72815847  4234.52148438     0.12935328     0.57893527  4234.52148438     4.72815847     0.70640856
     0.65471423     0.57950538    -1.01234901     4.72775412  4236.61181641     0.12935898     0.57950538  4236.61181641     4.72775412     0.70639759
     0.65539819     0.58008307    -1.01063788     4.72733307  4238.68945312     0.12935935     0.58008307  4238.68945312     4.72733307     0.70638639
     0.65608209     0.58068573    -1.00887787     4.72688150  4240.74951172     0.12936650     0.58068573  4240.74951172     4.72688150     0.70638186
     0.65676600     0.58131760    -1.00708532     4.72639608  4242.81933594     0.12936592     0.58131760  4242.81933594     4.72639608     0.70637447
     0.65744996     0.58198738    -1.00517631     4.72584057  4245.02587891     0.12936731     0.58198738  4245.02587891     4.72584057     0.70637405
     0.65813386     0.58266956    -1.00329077     4.72527456  4247.16357422     0.12936856     0.58266956  4247.16357422     4.72527456     0.70636868
     0.65881783     0.58338124    -1.00135863     4.72466087  4249.28076172     0.12937158     0.58338124  4249.28076172     4.72466087     0.70637232
     0.65950173     0.58409733    -0.99945265     4.72404909  4251.34814453     0.12937741     0.58409733  4251.34814453     4.72404909     0.70636457
     0.66018564     0.58480269    -0.99756998     4.72344017  4253.36767578     0.12937653     0.58480269  4253.36767578     4.72344017     0.70636737
     0.66086960     0.58551258    -0.99571979     4.72283792  4255.30859375     0.12937713     0.58551258  4255.30859375     4.72283792     0.70636803
     0.66155350     0.58622122    -0.99388367     4.72223520  4257.18945312     0.12937690     0.58622122  4257.18945312     4.72223520     0.70636582
     0.66223747     0.58692825    -0.99206251     4.72163105  4259.08300781     0.12937914     0.58692825  4259.08300781     4.72163105     0.70636606
     0.66292137     0.58763522    -0.99025875     4.72103405  4260.95605469     0.12937815     0.58763522  4260.95605469     4.72103405     0.70636576
     0.66360527     0.58833832    -0.98847073     4.72044230  4262.81396484     0.12937728     0.58833832  4262.81396484     4.72044230     0.70636427
     0.66428924     0.58903754    -0.98669392     4.71985388  4264.65576172     0.12937704     0.58903754  4264.65576172     4.71985388     0.70636225
